team1,team2,winner,1goals,2goals
URUGUAY,FRANCE,URUGUAY,0,0
SOUTH AFRICA,URUGUAY,DRAW,0,3
FRANCE,MEXICO,DRAW,0,2
ARGENTINA,NIGERIA,ARGENTINA,1,0
SOUTH KOREA,GREECE,SOUTH KOREA,2,0
ENGLAND,UNITED STATES,ENGLAND,1,1
ALGERIA,SLOVENIA,DRAW,0,1
SERBIA,GHANA,GHANA,0,1
GERMANY,AUSTRALIA,GERMANY,4,0
NETHERLANDS,DENMARK,NETHERLANDS,2,0
JAPAN,CAMEROON,JAPAN,1,0
ITALY,PARAGUAY,DRAW,1,1
NEW ZEALAND,SLOVAKIA,DRAW,1,1
IVORY COAST,POR,IVORY COAST,0,0
BRAZIL,KOREA DPR,BRAZIL,2,1
HONDURAS,CHILE,CHILE,0,1
SOUTH AFRICA,URUGUAY,URUGUAY,0,3
FRANCE,MEXICO,MEXICO,0,2
ARGENTINA,SOUTH KOREA,ARGENTINA,4,1
GREECE,NIGERIA,GREECE,2,1
ENGLAND,ALGERIA,DRAW,0,0
SLOVENIA,UNITED STATES,DRAW,2,2
GERMANY,SERBIA,SERBIA,0,1
GHANA,AUSTRALIA,GHANA,1,1
NETHERLANDS,JAPAN,NETHERLANDS,1,0
CAMEROON,DENMARK,DENMARK,1,2
SLOVAKIA,PARAGUAY,DRAW,0,2
ITALY,NEW ZEALAND,DRAW,1,1
BRAZIL,IVORY COAST,BRAZIL,3,1
KOREA DPR,PORTUGAL,PORTUGAL,0,7
CHILE,SWITZERLAND,SWITZERLAND,1,0
HONDURAS,SPAIN,SPAIN,0,2
SOUTH AFRICA,FRANCE,FRANCE,2,1
NIGERIA,SOUTH KOREA,DRAW,2,2
GREECE,ARGENTINA,ARGENTINA,0,2
SLOVENIA,ENGLAND,DRAW,0,1
UNITED STATES,ALGERIA,UNITED STATES,1,0
GHANA,GERMANY,GERMANY,0,1
AUSTRALIA,SERBIA,AUSTRALIA,2,1
DENMARK,JAPAN,JAPAN,1,3
CAMEROON,NETHERLANDS,NETHERLANDS,1,2
PARAGUAY,NEW ZEALAND,PARAGUAY,0,0
ITALY,SLOVAKIA,ITALY,3,2
NEW ZEALAND,ITALY,DRAW,1,1
SLOVAKIA,PARAGUAY,PARAGUAY,3,2
PORTUGAL,BRAZIL,BRAZIL,0,0
KOREA DPR,IVORY COAST,IVORY COAST,0,3
CHILE,SPAIN,SPAIN,1,2
SWITZERLAND,HONDURAS,SWITZERLAND,0,0
SOUTH AFRICA,MEXICO,DRAW,1,1
URUGUAY,FRANCE,URUGUAY,0,0
SOUTH AFRICA,URUGUAY,DRAW,0,3
FRANCE,MEXICO,DRAW,0,2
ARGENTINA,NIGERIA,ARGENTINA,1,0
SOUTH KOREA,GREECE,SOUTH KOREA,2,0
ENGLAND,UNITED STATES,ENGLAND,1,1
ALGERIA,SLOVENIA,DRAW,0,1
SERBIA,GHANA,GHANA,0,1
GERMANY,AUSTRALIA,GERMANY,4,0
NETHERLANDS,DENMARK,NETHERLANDS,2,0
JAPAN,CAMEROON,JAPAN,1,0
ITALY,PARAGUAY,DRAW,1,1
NEW ZEALAND,SLOVAKIA,DRAW,1,1
IVORY COAST,POR,IVORY COAST,0,0
BRAZIL,KOREA DPR,BRAZIL,2,1
HONDURAS,CHILE,CHILE,0,1
SOUTH AFRICA,URUGUAY,URUGUAY,0,3
FRANCE,MEXICO,MEXICO,0,2
ARGENTINA,SOUTH KOREA,ARGENTINA,4,1
GREECE,NIGERIA,GREECE,2,1
ENGLAND,ALGERIA,DRAW,0,0
SLOVENIA,UNITED STATES,DRAW,2,2
GERMANY,SERBIA,SERBIA,0,1
GHANA,AUSTRALIA,GHANA,1,1
NETHERLANDS,JAPAN,NETHERLANDS,1,0
CAMEROON,DENMARK,DENMARK,1,2
SLOVAKIA,PARAGUAY,DRAW,0,2
ITALY,NEW ZEALAND,DRAW,1,1
BRAZIL,IVORY COAST,BRAZIL,3,1
KOREA DPR,PORTUGAL,PORTUGAL,0,7
CHILE,SWITZERLAND,SWITZERLAND,1,0
HONDURAS,SPAIN,SPAIN,0,2
SOUTH AFRICA,FRANCE,FRANCE,2,1
NIGERIA,SOUTH KOREA,DRAW,2,2
GREECE,ARGENTINA,ARGENTINA,0,2
SLOVENIA,ENGLAND,DRAW,0,1
UNITED STATES,ALGERIA,UNITED STATES,1,0
GHANA,GERMANY,GERMANY,0,1
AUSTRALIA,SERBIA,AUSTRALIA,2,1
DENMARK,JAPAN,JAPAN,1,3
CAMEROON,NETHERLANDS,NETHERLANDS,1,2
PARAGUAY,NEW ZEALAND,PARAGUAY,0,0
ITALY,SLOVAKIA,ITALY,3,2
NEW ZEALAND,ITALY,DRAW,1,1
SLOVAKIA,PARAGUAY,PARAGUAY,3,2
PORTUGAL,BRAZIL,BRAZIL,0,0
KOREA DPR,IVORY COAST,IVORY COAST,0,3
CHILE,SPAIN,SPAIN,1,2
SWITZERLAND,HONDURAS,SWITZERLAND,0,0
